job_category,skills,field_of_study
Civil Engineer,adaptability | analytical thinking | AutoCAD | Bill of Quantities | communication skills | Concrete | Critical Thinking | Drawing Review | electrical design | hvac design | mechanical design | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | presentation skills | Problem Solving | Project Coordination | Root Cause Analysis | Site Supervision | SolidWorks | Structural Design | Technical Documentation | Tendering | time management | Time Management,Civil Engineering
Software Engineer,Big Data | Classification | Clustering | Communication | critical thinking | Critical Thinking | Data Cleaning | Data Visualization | Deep Learning | excel | Excel | Git | Java | Leadership | Microservices | Microsoft Word | NumPy | numpy | presentation skills | Problem Solving | Project Coordination | project coordination | Python | Statistics | Tableau | Version Control,Data Science
UI/UX Designer,adaptability | adobe photoshop | Adobe Photoshop | Critical Thinking | Customer Service | Design Systems | Figma | Information Architecture | Interaction Design | Leadership | Microsoft Word | Problem Solving | prototyping | Prototyping | Responsive Design | Teamwork | UI Design | Usability Testing | User Flow | UX Design | Visual Design | Wireframing,Computer Science
Data Scientist,Communication | Critical Thinking | customer service | Customer Service | Data Preprocessing | Feature Engineering | Jupyter Notebook | Leadership | Microsoft PowerPoint | microsoft word | Pandas | Presentation Skills | Problem Solving | problem solving | project coordination | TensorFlow | time management | Time Management,Computer Science
DevOps Engineer,Agile | C++ | CI/CD | Code Review | Communication | Customer Service | Debugging | Design Patterns | Kubernetes | Leadership | Monitoring | MySQL | Node.js | Presentation Skills | Python | React | react | REST API | Shell Scripting | TypeScript | Unit Testing,Software Engineering
Electrical Engineer,3D Modelling | AutoCAD | Commissioning | Communication | Customer Service | Electrical Design | Instrumentation | Maintenance | Mechanical Design | Microsoft Word | Power Systems | Presentation Skills | Problem Solving | Project Coordination | Project Management | Quality Control | Safety Compliance | Simulation | SolidWorks | Teamwork | Technical Documentation | Testing | Time Management | Wiring Diagram,Mechatronics
HR Specialist,adaptability | analytical thinking | Communication | Compensation & Benefits | Conflict Resolution | critical thinking | Critical Thinking | Customer Service | Employee Engagement | Employee Relations | HR Policies | HRIS | Interviewing | Labour Law | Leadership | Microsoft PowerPoint | multitasking | Onboarding | Payroll | Performance Management | presentation skills | Presentation Skills | Problem Solving | Project Coordination | Recruitment | Talent Acquisition | Teamwork | time management | Time Management | Training & Development,Human Resource Management
Hospitality & Tourism Executive,Cashiering | Check In | Clinical Procedures | Communication | Critical Thinking | Customer Service | Event Coordination | Food and Beverage | Front Office | Health Education | Infection Control | Medical Terminology | Medication Administration | Microsoft PowerPoint | Microsoft Word | POS System | Problem Solving | Reservation | Time Management,Hospitality & Tourism
Finance & Accounting Executive,advanced excel | analytical thinking | attention to detail | Auditing | Bank Reconciliation | budgeting | Budgeting | cash flow management | communication skills | costing | financial analysis | financial modelling | Financial Reporting | Forecasting | General Ledger | Leadership | Microsoft Excel | oracle finance | Problem Solving | profit and loss analysis | Reconciliation | taxation | Taxation | teamwork | time management | Time Management | variance analysis,Accounting & Finance
Cybersecurity Analyst,adaptability | analytical thinking | Communication | communication skills | critical thinking | Critical Thinking | Customer Service | Firewalls | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Network Security | Penetration Testing | presentation skills | Presentation Skills | Problem Solving | Project Coordination | Security Audit | SIEM | teamwork | Teamwork | time management | Time Management | Vulnerability Assessment,Cybersecurity
Pharmacist,Clinical Procedures | clinical procedures | Communication | Critical Thinking | Customer Service | Dispensing | Electronic Medical Records | Emergency Response | Health Education | Infection Control | Inventory Management | leadership | Leadership | Medical Terminology | Medication Counselling | Microsoft PowerPoint | Microsoft Word | OTC Recommendation | Patient Care | Pharmacy Management | Phlebotomy | phlebotomy | Prescription Review | Problem Solving | Project Coordination | Teamwork | Vital Signs Monitoring,Pharmacy
Cybersecurity Analyst,Access Control | attention to detail | Communication | communication skills | critical thinking | Customer Service | Firewalls | Incident Response | leadership | Leadership | Malware Analysis | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Network Security | Penetration Testing | Presentation Skills | Problem Solving | Project Coordination | project coordination | Security Policies | Teamwork | time management | Time Management | Vulnerability Assessment,Computer Science
Pharmacist,adaptability | analytical thinking | Clinical Procedures | Counselling | critical thinking | customer service | Emergency Response | health education | Health Education | infection control | Inventory Management | leadership | Leadership | medical terminology | Medical Terminology | medication administration | Medication Counselling | microsoft word | Pharmacy Management | phlebotomy | Prescription Review | Presentation Skills | problem solving | Problem Solving | teamwork,Pharmacy
Supply Chain Executive,Big Data | Clustering | Data Cleaning | Data Warehousing | Deep Learning | Google Analytics | Leadership | Machine Learning | Microsoft PowerPoint | NumPy | Order Processing | Presentation Skills | Problem Solving | Procurement | Regression | Shipping | Statistics | Supply Planning | Tableau | Warehouse Management,Supply Chain Management
Customer Support Executive,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | CRM System | customer service | Customer Service | Email Support | Follow Up | leadership | Live Chat | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | teamwork | Teamwork | time management | Time Management,Business Administration
Mobile App Developer,Android | Android Studio | c# | c++ | CI/CD | docker | Java | Microsoft Word | Mobile Testing | MongoDB | mysql | nosql | Play Store Deployment | problem solving | React | Scrum | scrum | sql | Swift | Teamwork | Unit Testing | version control | Xcode,Information Technology
